DateTime,user_name,Cpu Count,Cpu Working Time,Cpu Idle Time,Cpu Percent
2021-01-05 05:57:51.993962,vwilson@example.org,4,520,508,50.17279278780573
2021-09-10 06:54:13.796510,ileon@example.org,2,856,353,29.91842424169081
2020-07-25 06:17:59.906691,emurphy@example.net,6,897,809,26.25619532686
2023-01-21 12:36:28.195551,qmarshall@example.net,2,615,530,30.713932231741715
2020-08-06 18:28:07.290842,toddwilliams@example.org,4,769,616,33.85987167413619
2021-12-14 10:26:09.650436,rivashannah@example.com,6,86,137,33.98449837151618
2021-03-27 23:15:49.096768,gjohnston@example.net,7,161,879,42.90243820877849
2022-03-25 07:45:39.965806,kimberlyburns@example.org,4,64,659,77.31108517846
2020-01-24 12:24:14.315289,rodney52@example.com,7,489,961,10.34244182429882
2021-03-07 04:06:52.963721,patricia24@example.net,2,682,422,85.26457838064361
2020-05-26 22:03:36.021035,randall95@example.org,7,405,215,53.179762320542835
2021-11-14 20:10:46.534002,myersmicheal@example.net,4,239,307,92.42110629636629
2022-04-02 23:49:14.175625,ileon@example.org,7,271,254,73.10913496648297
2023-04-23 04:43:16.399066,wbender@example.net,6,482,968,21.747996005577086
2023-10-19 13:00:09.330991,lauren37@example.net,4,984,186,36.10749183074768
2021-02-04 11:47:46.447897,randall95@example.org,1,489,891,67.0609666344937
2020-06-02 21:33:08.995293,cynthiarivera@example.com,7,318,26,25.111927433196335
2021-03-21 13:52:56.852603,aschwartz@example.org,5,493,108,42.050213539555614
2023-08-26 02:26:49.838517,kimberly02@example.org,6,838,598,38.44831016763154
2023-01-23 23:31:18.047063,zwilson@example.com,4,573,600,83.13884960840015
2020-07-31 14:20:33.566926,alexis98@example.net,2,619,24,86.09546975919233
2020-10-24 13:38:21.930147,lauren37@example.net,7,183,101,1.0254274118837392
2023-05-09 13:08:16.606430,randall95@example.org,3,868,142,85.2229055152611
2020-07-26 18:50:16.281807,emilyramirez@example.com,5,857,879,71.8575346491751
2020-10-29 04:06:46.073424,rodney52@example.com,5,713,642,8.260506821067281
2022-02-16 16:42:56.490717,ikhan@example.com,6,875,442,2.052808726551747
2022-09-11 07:41:20.984497,davisjennifer@example.net,7,940,803,78.3611986255124
2021-07-26 02:10:52.291209,ywu@example.net,4,884,280,81.61247780205291
2021-06-16 05:46:46.523591,gjohnston@example.net,5,707,967,69.78341285965921
2023-03-06 12:06:22.159591,derek69@example.net,1,387,735,50.40670588309618
2020-12-18 05:00:05.611862,barbaratodd@example.org,1,146,177,79.22943439158536
2020-03-10 07:49:22.617910,rguzman@example.com,6,79,691,80.28409448013711
2020-04-24 02:08:58.599387,ikhan@example.com,3,744,569,41.42985003196884
2022-04-15 16:03:37.795365,cmoore@example.net,2,741,27,83.22553130383518
2023-10-27 00:41:23.831512,johnsondavid@example.org,3,880,52,29.396581272081935
2023-10-31 12:41:29.105865,trevor46@example.com,3,76,973,6.331416871704154
